,Tweet
324,Persatuan revisi putusan MK yo?
325,Ga dikuasai orang solo
326,Mari bersama-sama mendukung penuh putusan MK
327,"knp  fokus kepada benturan pada anies dan PKS.. knp g fokus kpd keputusan PKS yg berada dengan penguasan untuk mendapat Kekuasaan.
kita sudah tau sama tau. 
berada di sisi penguasan yg mencekik Demokrasi. 
mengenaskan sekali.
harusnya dg adanya putusan MK PKS bisa mendukung Anis"
328,Dengan kita bersama-sama mendukung putusan MK ini salah satu dampak dalam memajukan Indonesia.
329,Mari semua bersama-sama menghormati putusan MK dalam membangun Indonesia dimasa depan.
330,Omgg muslim ace visibility https://x.com/1WAKP4RI/statu/1WAKP4RI/status/1830913520948650459…
331,Semua pihak agar menghormati putusan MK dan bersatu dalam membangun Indonesia!!
332,"Iya dong aku kawal, putusan MK aja di kawal apalagi AU nya jijil"
333,Semua pihak harus menghormati putusan MK dan bersatu dalam membangun Indonesia
334,"putusan MK manfatinlah balik kanan,kenapa gak dilakuin? sampe saat ini gak ada yg bisa jawab"
335,Malah OOT yg di bahas kondisi setelah putusan MK kenapa Tangsel bisa berubah sementara Sumut dan jakarta tidak. Bukan membahas siapa yang akhirnya mendaftar
336,Langkah penting untuk demokrasi bangsa! DPR telah menyetujui UU Pilkada sesuai dengan putusan MK #MenjagaPutusanMK #Pilkada2024
337,Pengesahan UU Pilkada oleh DPR sesuai dengan putusan MK adalah kemenangan bagi rakyat #MenjagaPutusanMK #Pilkada2024
338,"kesalahan pks cuma 1,ngga kuat bareng anies di oposisi pas pilkada. padahal kalau mau tetep bareng anies, namanya bakal lebih melejit. ya walau kita tau kalau putusan mk lebih cepat ketok palu, pks mungkin tetep breng anies."
339,"Walau waktu mepet putusan MK 
Kl PKS konsisten ke kader nya bisa bang 
Masih ada waktu...
Seperti di Tangsel"
340,"PKS enggak bisa mencalonkan sendiri karena pada saat itu belum keluar Putusan MK. 

BN mau kontrak politik dgn PKS."
341,Perancis lbh punya budaya demo lbh maju tuh... emang nya sblm demo putusan mk tidak ada phk?
342,"PKS gak bisa Calonin kader sendiri bang..?
Saya berharap kader"" terbaik PKS itu di dorong sama partai nya sendiri.
Nama nya Kaderisasi yg Baik 
Kl kursi di DPRD daerah kurang
Partai wajib cari tmn koalisi.
Kmren putusan MK lebih mempermudah."
343,"...Pak 
@tifsembiring
 harus berbesar hati terima risiko sosial akibat PKS sampai detik ini gak pernah ""anulir dalil"".

Ingat, bahwa presiden PKS (pra putusan MK) lah yg bilang bhw DALIL pembatalan Anies karna MINUS 4 kursi.

Pasca putusan MK, PKS malah SURPLUS 10 kursi... (``,)"
344,"Andai Putusan MK Soal Ambang Batas Pencalonan Lebih Cepat di Bacakan, PKS Akan Tetap Usung Anies https://keuangannews.id/153534-2/ via 
@Keuangan
 News"
345,Memang salah kok itu putusan mk. Mk  bergerak melampaui kewenangannya membuat norma. Ini bakal jadi preseden putusan mk selanjutnya. Kalau tata negara kita kacau begini semua lembaga negara bisa semau2nya sendiri
346,Aku aku akuu
347,"Betul...betul..betul...knp lg ada Demo Kawal Putusan MK kader PDIP tdk ada yg ikut Demo...?
Sandiwara berjilid-jilid ini akan berakhir dg kekuatan Penuh Rakyat di akhir Jabatan Mulyono menuntut di Adilinya Mulyono and the genk...???"
348,Kubu Prabowo tak ingin terkena imbas unjuk rasa kawal putusan MK itu terhadap pemerintahan barunya kelak.
349,"Selain timses, ada pihak lain yg juga bisa bermain yaitu KPU.. Sejak Pilpres kita paham KPU di pihak sapa..
Tanpa Putusan MK, cuma ada 2 calon.. Calon Independen menang, bisa didiskualifikasi dengan pencatutan KPK..
Bersyukur ada Putusan MK, pangeran Pisang gagal jadi Gub DKI.."
350,"Pemerintah Pastikan Ikuti Putusan MK

jagapersatuan untuknkri

#AwasiPilkada2024
#SukseskanPilkada2024
#Pilkada2024kondusif
#MenjagaPutusanMK"
351,"Pemerintah Pastikan Ikuti Putusan MK

jagapersatuan untuknkri

#AwasiPilkada2024
#SukseskanPilkada2024
#Pilkada2024kondusif
#MenjagaPutusanMK"
352,"Pemerintah Pastikan Ikuti Putusan MK

jagapersatuan untuknkri

#AwasiPilkada2024
#SukseskanPilkada2024
#Pilkada2024kondusif
#MenjagaPutusanMK"
353,"Pemerintah Pastikan Ikuti Putusan MK

jagapersatuan untuknkri

#AwasiPilkada2024
#SukseskanPilkada2024
#Pilkada2024kondusif
#MenjagaPutusanMK"
354,Klo gk tersandra pasca putusan MK kok gk dukung anis lagi?
355,"Alasan awal PKS gak bisa dukung Anies karena kurang suara dan pengen cawagub.. seharusnya dngn putusan MK, mrka bisa dapat cagub-cawagub . Tapi pada faktanya mereka tetap gabung ke KIM.. jadi alasan kurang suara itu hanya dibuat2. Alasan utamanya pengan gabung kekuasaan. "
356,"Protes apa...?...kemarin ikut kok dlm persekongkolan ""jahat"" di baleg DPR untuk melawan putusan MK...gimana sih..."
357,Liat video ini malunya masih ada nembus layar
358,"Pemerintah Ikuti Putusan MK

jagapersatuan untuknkri

#AwasiPilkada2024
#SukseskanPilkada2024
#Pilkada2024kondusif
#MenjagaPutusanMK"
359,"Pemerintah Ikuti Putusan MK

jagapersatuan untuknkri

#AwasiPilkada2024
#SukseskanPilkada2024
#Pilkada2024kondusif
#MenjagaPutusanMK"
360,"Pemerintah Ikuti Putusan MK

jagapersatuan untuknkri

#AwasiPilkada2024
#SukseskanPilkada2024
#Pilkada2024kondusif
#MenjagaPutusanMK"
361,"Pemerintah selanjutnya itu ada Fufufafa sebagai wapres hasil otak-atik UU MK yg disahkan oleh paman fufufafa, ada Bobby Cagub sumut, ada yg nyaris jadi Cagub yg coba2 otak-atik gagalkan putusan MK oleh DPR. Itu belum termasuk politik dinasti kah?"
362,Presiden Jokowi tegaskan harus mengikuti putusan MK.
363,"Iya. Tapi orang itu dipegang janjinya. Sudah kadung komitmen dgn RK sebelum adanya putusan itu. Andaikan putusan MK lebih cepat, Pak Anies pasti berlayar bersama PKS."
364,Pemerintah siap berkomitmen penuh dalam mematuhi putusan MK.
365,"Putusan MK melarang vs PKPU boleh
PLT. Gubernur =  Gubernur difinitif ?
@officialMKRI
 @KPU_ID
 @titianggraini"
366,Hasil putusan MK sangat membantu dan menguntungkan  parpol2 untuk memberikan rakyat alternatif pilihan yang beragam
367,Apakah sikap pks pas rapat baleg pasca putusan MK 60 & 70 selaras dengan sikap pks seperti yg tertuang di berita CNN tersebut??
368,"Itu sih gua yakin RG bakalan walk out soalnya si mulyono ngga paham apapun masa pas putusan MK batas umur dia bilang pemerintah ngga bisa intevensi padahal indo dibagi menjadi 3 kekuasan (legislatif, yudikatif, eksekutif) biar saling mengingatkan kalau ada yg melenceng"
369,"Sempat gemes waktu 
@PKSejahtera
 nyalonkan ""dia"" di Tangsel dan setuju pembatalan putusan MK. Untungnya mau dengerin suara orang n merevisi.

Tuk pileg 2029 insyaa Allah tetap setia n pilih caleg PKS, tapi tuk pilkada DKI 2024 tidak lagi samiknawatokna."
370,Ini demo yg mendukung putusan MK bang....Jan asal komen
371,Apakah sikap pks pas rapat baleg pasca putusan MK 60 & 70 selaras dengan sikap pks seperti yg tertuang di berita CNN tersebut??
372,"Itu sih gua yakin RG bakalan walk out soalnya si mulyono ngga paham apapun masa pas putusan MK batas umur dia bilang pemerintah ngga bisa intevensi padahal indo dibagi menjadi 3 kekuasan (legislatif, yudikatif, eksekutif) biar saling mengingatkan kalau ada yg melenceng"
373,"Sempat gemes waktu 
@PKSejahtera
 nyalonkan ""dia"" di Tangsel dan setuju pembatalan putusan MK. Untungnya mau dengerin suara orang n merevisi.

Tuk pileg 2029 insyaa Allah tetap setia n pilih caleg PKS, tapi tuk pilkada DKI 2024 tidak lagi samiknawatokna."
374,Ini demo yg mendukung putusan MK bang....Jan asal komen
375,"Pasal 45 ayat (7) uu ite jo. 310 ayat (3) kuhp sebenernya bisa ditafsirkan termasuk dalam hal mengkritik pejabat. Kalo uji materiil ke mk kemungkinan ditolak karena menkonkretisasi rumusan pasal, sama halnya dengan putusan mk no. 70 kemaren. Meureun."
376,Jika Putusan MK terbit lebih cepat maka AMAN akan ada
377,"Kyknya retorika politik yg mengada2,  kenapa pula PKS tak percaya diri untuk Sumut-1 '24 maupun DKI-1 '24 usung kader internal sendiri? Kan sdh ada putusan MK 60."
378,"Coba waktu itu tetap di pdip mungkin sekarang udah cagub lampung.pindah Nasdem malah gak di usung jadi cagub,usai putusan MK Nasdem bisa maju sendiri pada hal."
379,"Kamu salah,emng pksnya aja udh mau gabung pemerintah.udh tercium dr pas selesai putusan MK penetapan presiden.ini partai emng udh gak tahan jadi oposisi, pencalonan Anies hanya semata utk posisi tawar bergabung di pemerintah."
380,"Aku juga download, hemat kuota"
381,"stay di jalan perjuangan, dengan sedikit keberanian dan kondisi yang semakin terang, ga lama lagi rezim tumbang, secara baik-baik atau tidak. Dikasih jalan buat putar balik ketika kami berdemo menjaga putusan MK, kasih jalan lebih leluasa, tapi kalian bergeming. Malu?"
382,Setelah putusan MK msh ada jeda waktu u PKS bermusyawarah lgi...
383,"Andai ga ada skandal revisi UU Pilkada, rasanya landing Pak Jokowi bagus

Tapi karena putusan MK setitik, rusak semua skenarionya. Bahkan harus nyapuin hal-hal lain yang tidak diprediksi sebelumnya "
384,"Ali hamza kan emang dari dulu goblok, semenjak kasus kpop itu , sekarang ngatain narasi provokator, masalah putusan mk di sepelein, kek buzzer tolol dah, wkwkwk cair cairrr"
385,"putusan MK, Jokowi tegaskan #indonesiaMaju ikut juga Perppu: terbitkan ada saja gak Pikiran pilkada #Jokowi tak"
386,"Dirreskrimum Polda Jatim meninjau lokasi unjuk rasa mahasiswa terkait putusan MK di Gedung DPRD Provinsi Jatim. Kegiatan unjuk rasa berlangsung tertib dan kondusif.(26/08/24) 
#ditkrimumjatim #poldajatim #unjukrasa"
387,"Alasan lepas Anis karena tdak dapat lengkapi kursi adalah alasan saja, aslinya silau oleh tawaran materi dan jabatan. ini terbukti pasca putusan MK tetap tdak calonkan Anis. Partai nilai yang berubah jadi pragmatis dan oportunis. Selamat tinggal PKS"
388,Udah deh jangan mbulet menganggap rakyat jakarta hanya sekumpulan monyet. Wong kadermu di senayan si ibu2 itu ikut menentang putusan MK ko'.
389,"sudah deklarasi AMAN kok bilang gayung tak bersambut? alasannya deadline, tapi ARB merasa tak ada deadline. alasan tak cukup kursi, tapi putusan MK keluar ga balik dukung. aaaahhhh...... pragmatis"
390,"Secara hukum memang benar yg disampaikan legislator PKS, Gerindra dkk. Prof YIM jg menyampaikan pandangan senada terkait norma baru. Bahkan partai gelora yg mangajukan JR sj protes krn putusan MK tidak sesuai gugatan. PKS tidak menolak ambang batas 7.5%, bahkan PKS ajukan JR 4%"
391,"Stujuuu, ini lagu yg bikin aku mantep ngestan yeochin, sebagus ituuu"
392,oposisi dengan mendukung revisi uu pilkada mengkadali putusan MK
393,Guys jurnalis Indonesia yang sering bgt post awareness kawal putusan MK siapa yaaah?
394,Pemerintahan berkomitmen penuh untuk mematuhi putusan MK dalam pelaksanaan pilkada 2024!!
395,"Hal ini bisa dilihat dri kompromi yg terbukti dilapangan, waktu baleg dpr masalah RUU pilkada , harusny klo 
@pks
. Memegang value kenapa kok malah pro pada arah pemberhalaan itu putusan mk yg mestinya malah bergembira,bisa mencalonkan di banyak daerah,bahkan pak anis"
396,"Yg dibocorkan oleh 
@BocorAlusPol
 sih katanya dapet:

1. 2 pos menteri
2. Cashback 50% biaya Pileg
3. Pilkada² di daerah² strategis dimana PKS potensi menang akan didukung Gerindra.

Tp keknya poin terakhir buyar grgr Putusan MK 60 deh"
397,Nalar kritis publik merespons putusan MK soal pilkada bisa menjadi modal dasar untuk memilih di pilkada serentak nanti. http://baca.komp.as/TCnKsV #Opini #AdadiKompas
398,"Buzzer2 ini gmn nasib ya?
Masih keinget cuitan kiky yg bilang ""putusan MK untuk mas gibran""

Dipikir2 kepikiran kayanya dilepeh sm kimples"
399,"Di tangsel memang awalnya tidak ada kader mereka yg diusung, sama halnya dengan golkar di banten, cabut dukungan dengan koalisi yg tidak ada kader internalnya yg diusung. 
Kalo DKJ sudah kadung komitmen dan ada kadernya yg diusung, btw putusan MK setelah komitmen berkoalisi"
400,Ini ganteng aph cantik yh...
401,"Pengesahan Revisi UU Pilkada Dibatalkan, Jokowi Pastikan Pemerintah Ikuti Putusan MK"
402,DPR dan KPU sepakat jalankan putusan MK soal ambang batas parlemen dan syarat batas usia calon kepala daerah
403,"Pengesahan Revisi UU Pilkada Dibatalkan, Jokowi Pastikan Pemerintah Ikuti Putusan MK"
404,DPR dan KPU sepakat jalankan putusan MK soal ambang batas parlemen dan syarat batas usia calon kepala daerah
405,"Tokoh2 
@PKSejahtera
 sibuk Membenarkan diri. Tenang. Balik Badan setelah putusan MK knapa nggak? Toh di salah satu paslon bisa. Kan alasan kalian tdk cukup suara utk dukung pak 
@aniesbaswedan
 Ada putusan MK knapa nggak balik badan, toh RK tetap Nyalon walau kalian tdk dukung."
406,Kan setelah putusan MK resmi berlaku PKS harus nya memajukan calon sendiri di jakarta dan Sumatra Utara tapi ini tidak melakukan malah sebaliknya tunduk kepada maunya DASCO
407,rupanya ada buzzer yang lupa breafing tentang putusan MK :v. pada lupa anjir kalau putusan MK bisa bikin PKS maju sendirian. dan inget kalau dukungan resmi PKS ke kim itu ada setelah putusan MK jadi ya. mau nyalahin anies gimana ya tetep aja yg salah pks kenapa ninggalin
408,Itu orang enak bat kyknya buat dijadiin samsak tinju buat mahasiswa pas demo kawal putusan MK kemarin2... 
409,Sharee
410,Mau mauuu
411,"ah kalo ini sih emang sebab akibat sih...coba PKS pas ada putusan MK, lsg putar balik ngusung Anis Iman (kalo memang alasan sebelumnya gak ada kuota)...pasti gak ada suara sumbang"
412,Partai siapa yng ikut dukung revisi putusan MK?
413,"Apa yg menyebabkan 
@PKSejahtera
 deklarasi dukung RK sebelum putusan MK dibacakan?

Cerita RK di 
@MataNajwa
, syarat calon wakil dari PKS itu udah lama. Tentu tawaran dr KIM ke PKS sdh dibahas jauh-jauh hari. Alasan politik lebih dpt diterima dari pada alasan pembenaran begini pak"
414,"Justru itu, ketika ada angin segar dari Putusan MK 60 untuk PKS bisa mencalonkan calonnya sendiri, kenapa majelis syuro tidak segera melakukan musyawarah kembali untuk menentukan sikap terbaru dari perkembangan terkini saat itu?"
415,makasih infonya kak
416,"Dan buat yg mikir cuma krn rocky savage,

Argumen rocky itu ada di putusan HAM eropa soal penghinaan pejabat negara

Ada dlm putusan MK soal penghapusan penghinaan presiden

Semua pernah gw baca, tpi dia jelaskan itu dgn sangat sederhana, mudah dipahami, itu gak mudah, impresif."
417,"Knp gak berubah aja setelah ada putusan MK Pak 
@hnurwahid"
418,"Argumen rocky itu ada di putusan HAM eropa soal penghinaan pejabat negara

Ada dlm putusan MK soal penghapusan penghinaan presiden

Dia menjelaskan dgn sangat sederhana, impresif menurut gw

Dan gw kenal dia jauh sebelum masuk TV, gak berubah cara menjelaskannya"
419,Presiden Jokowi Pastikan pemerintah Ikut Putusan MK
420,"lah Golkar aja masih bisa balik dukung Airin pasca putusan MK, Riza Patria dan Marshel bisa mundur  pasca putusan MK, apa yg menghalangi PKS gak berani mundur dr KIM plus Jakarta dan kembali ke Anies?"
421,"Demo untuk Anies, kedok putusan MK."
422,"Justru karena istiqomah itulah PKS harus hormati kesepakatan yang sudah ditandatangani dg RK. Andai saja putusan MK dibacakan sebelum kesepakatan ditandatangani, PKS bisa menarik diri seperti di Tangsel."
423,"Intinya jegal Anies di jkt, dukung Bobby di sumut, dukung Kaesang di jateng sblm putusan MK."
424,"MK masuk pada hal teknis pembuatan UU yang semestinya menjadi wewenang pemerintah dan DPR. Dalam banyak putusan, MK telah menjelma menjadi rezim despotik itu. Setiap putusan MK tidak ada yang bisa me-review-nya."
425,"Pasca putusan MK, PKS punya pilihan di Jakarta dan Medan, tapi kami lihat sikap PKS.... 
Terus mesti mau bilang apa lagi..."
426,Kl tdk tersanda.. ngapain kemarin diperalat di Baleg DPR ikut setuju RUU pilkada melawan putusan MK.. ada2 saja...
427,Kl bebas...tentu tdk akan diperalat dlm persekongkolan jahat baleg DPR kemarin...untuk setuju RUU pilkada guna melawan putusan MK...itu kan penghianatan atas kedaulatan rakyat yg akhirnya memantik kemarahan berbagai elemen masyarakat memaksa DPR membatalkan pembahasam RUU tsb.
428,"Kalo gw sendiri paling kecewa berat pas sempet dukung RUU pilkada buat gagalin putusan MK, itu titik yg bener2 gw kecewaaa berat plus bumbu2 mereka yg enggan menerima kritik dan membela diri  dan menuduh simpatisan cuma buzzer"
429,"Stlh putusan MK keluar berarti sisa 4 kursi yg dipersyaratkan oleh 
@PKSejahtera
 kpd 
@aniesbaswedan
 sdh teratasi. Tapi kenapa PKS tetap meninggalkan Anies & gabung KIM Plus? PKS harusnya tobat krn tidak sabaran. Allah sdh kasih jalan. Tapi PKS menampiknya. Mmang sdh waktunya down."
430,"dan lucunya, 
@PKSejahtera
 justru tdk memanfaatkan Putusan MK dgn mengusung kader2nya sendiri, seperti di Tangsel (contohnya)... Kursinya banyak kok takut kalah ngusung kader2 sendiri? #hahaha... Emangnya PKS tersandera korupsi apa sih sampe sebegitu takutnya? Kuota haji?"
431,"butuh disadarin selama 1 jam ternyata ia, tapi gapapa, melek juga deh lu sama alasan kenapa putusan mk kemarin harus dikawal hhhhhh..... "
432,"YAH OK WAJAR TP JGN HRP TANPA ADA MUSYAWARAH KALO PARTAI LAIN BAKALAN PASTI TERIMA…GW BENCI PDIP TP JUSTRU DISINI GW SALUT AMA PDIP KRN TTP BERDIRI SENDIRI GAK IKUT GABUNG WALAUPUN GAK CKP SUARA…COBA PKS SEPERTI ITU, PAS PUTUSAN MK KELUAR BKL BS NYUSUNG ANIES ATAU KADER SENDIRI"
433,damn rupanya anda masih ada di masa sebelum tanggal 21 agustus rupanya. jadi gak tau putusan mk. info aja dimasa depan setelah putusan mk bakal ada demo besar :v
434,"Dan stlh keluar putusan MK maka cukuplah kursi utk mengusung Anies, tapi tetap tdk dilakukan oleh 
@PKSejahtera
 dan malah tetap gabung KIM Plus. Allah sdh kasih jalan, tapi PKS menampiknya. Andai saja PKS sabar dan tdk menekan Anies dgn deadline mgkn tdk spt ini jadinya."
435,"Bahkan sekelas HNW ga bisa memahami makna tersandera. Apa alasan yang mendasari PKS gabung KIM selain iming2 kursi menteri? Padahal rakyat rela demo demi kawal putusan MK. Tapi PKS tetap memilih kursi menteri daripada mendengar aspirasi rakyat, padahal PKS bisa usung sendiri"
436,"Alasan pks ga masuk akal buktinya setelah putusan  MK tangsel bs berubah, knp jakarta tdk? Ya krn jakarta sdh di barter dgn iming-iming jabatan dan fulus,, bkn begitu ya ustadz?"
437,"Buta kah ?? 

Dukung bobby 
Dukung kaesang ( sblum.ada putusan MK ) 

Dukung Marsel ( yg gak jelas ))"
438,"Pake ngeles, putusan MK sebelum pendaftaran, knp ga balik badan? berarti emg tersandera"
439,"Coba jujur aja sama publik, apa yang bikin PKS bergabung dengan KIM? Kalau memang  karena iming iming kursi menteri, ya jawab jujur aja. Rakyat udah berusaha demo habis habisan untuk kawal putusan MK, kenapa ga dipake juga? Padahal PKS jadi bisa usung sendiri.jujur"
440,"Aduhh semoga membernya tetep sehat yaa, padahal kan mereka pasti capek :⁠'⁠( kasihan bgt jadi korban kyk gini, semoga boycott nya berhasil yaa
Gimana pun mereka juga manusia, pasti capek lah kalo dipush trs"
441,Sunrise sama tftmn gfriend
442,"Lah kemarin aja putusan MK dikritik sama kader PKS waktu rapat di baleg.
Katanya tetap vokal perjuangankan kepentingan umat.
Padahal kan umat maunya putusan MK ga diganggu.
Tapi kemarin apa?"
443,Gayung tak bersambut tapi malah gabung rezim. Harusnya berani menjomblo seperti pdip. Gak ikut pilkada DKI gak masalah. Saat putusan MK keluar malah gak balik arah. Ini tanda PKS gak dengerin konstituennya
444,Halah alasan aja.. begitu ada putusan MK harusnya udah bisa nyalonin sendiri kayak pdip ga perlu gabung KIMplus..
445,"diem, gimana tu putusan MK udh keluar belum"
446,"Keputusan Musyawarah Majelis Syuro yg memutuskan PKS berkoalisi dg KIM+ setahu saya keputusannya keluar sebelum Putusan MK 60, ktk Putusan MK 60 itu keluar dan menguntungkan PKS, harusnya Majelis Syuro mengadakan musyawarah kembali untuk mendiskusikan kondisi terkini saat itu"
447,"Makanya baca dulu kalau PKS PKB Nasdem tetep gabung seperti saat capres bisa memenuhi sebelum putusan MK gak??
Nyuruh orang pakai kuota.. dia sendiri gak paham konteks"
448,"Kemaren DPR mo ngerubah putusan MK didemo.. Sekarang halu mau ngubah undang-undang.
Ga ada obat"
449,"lah harusnya si 
@faizalasegaf
 komplain ke 
@PKSejahtera
 
karena putusan MK membuat 
@PKSejahtera
 bisa sendiri, tapi-khan ngak mau ?"
450,"Justru itu, jika memang ada kecurigaan ada yg 'mempermainkan' PKS dg Putusan MK 60, ya lawan dong dg 'menyerang balik' pihak yg dicurigai mjd dalangnya! Klo tak ada perlawanan, ya patut dicurigai keinginan PKS masuk kolam kekuasaan lebih besar drpd keinginan PKS jd pelayan rakyat"
451,mantep mengawal putusan mk tanpa harus menyepong pak anies‍
452,"lucu logika anda
ya betul ada faham trias politika, tapi indonesia tidak murni seperti itu, pahami lagi aturan yg ada
dan justru putusan MK harus dipatuhi DPR dan menjadi acuan dalam membuat UU berikutnya
jadi, ya DPR dan Pemerintah sudah salah, dan membuat narasi pembodohan"
453,"Gayung tak bersambut? Anies mau anda usung krn baginya PKS adalah partai yg paling ia percaya & paling punya chemistry dengan dia. Anda dan PKS sendiru yg membatalkan pencalonan itu, bahkan ketika ruang terbuka utk mencalonkan lagi pasca putusan MK, Anies tetap anda lepeh."
454,"Wwkwkwkk jawabannya sudah ada deal²an, mk 
@PKSejahtera
 tidak mengusung anies di injury time. Setelah putusan MK Selain jakarta, Sumut dan Jateng bebas 
@PKSejahtera
  mencalonkan siapapun cakadanya ..."
455,Dengan putusan mk gak butuh 4 kursi lagi
456,Jinx pun mengawal putusan MK
457,Justru pasca putusan MK kemarin adalah peluang terbaik PKS kembali bekerjasama dg Anies untuk mengalahkan anasir² jahat kekuasaan
458,Ngusungnya cuman basa basi doang dgn pake ancaman kl gak dpt 4 kursi dlm 40 hri dukungn dicabut..pdhl gak ada dlm janji spt itu kata anies...ngarang aja lu..tpi stlh turun putusan mk pks jg ttap gak brgeming toh..dsr bnyak bacot aja..betul tuh yg dibilang Refly Harun..
459,"Ternyata jadi karyawan BUMN itu ngga semuanya nikmat kaya yg di idam2kan ya, masih ada juga beberapa fasilitas yg diskriminasi.
Tiba2 ada aja aturan yg diupdate tanpa diumumkan ke karyawannya. Uda macem putusan MK "
460,Presiden Jokowi Pastikan pemerintah Ikut Putusan MK
461,"eeeh NGUSTAD, kan stelah ada putusan MK partai antum bisa nyalonin sendiri "
462,Bargainingnya terlalu dalam sm KIM jd ga bs lepas stlh putusan MK.. beda dg Golkar yg sdh lepeh Airin tp ngusung lg.. silakan di maknai sendiri
463,"Coba baca beritanya utuh

Atau cari sumber lain, maksud dari HNW

Banyak pihak tidak sadar bahwa putusan MK sudah bisa keluar 1 Agustus harusnya

Tapi baru dibacakan 1 hari setelah deklarasi RAWON

Itu problem besar yg MK bikin"
464,"Ohh...iya ? Masa  cih ?? Yang Tangsel apakabar kok berubah setelah putusan MK ? Padahal yang di JKT jelas basis PKS dan aspirasi simpatisan jls usung Anies.
Gak tau lagi kl ada yang bermasalah dgn hukum lalu tersandera.Tapi gak mungkin sih (maksudnya gak mungkin ngaku begitu). "
465,"Dah kaya tuhan aje bang
Sadar kalo Allah mo balik jejak putusan MK g mampu

Yaaa semoga terlaksana harapanmu nak tp jika lain yaa itulah"
466,"Seharusnya putusan pengadilan korupsi inilah yg patut didemo guru besar dan mahasiswa karena korupsi kejahatan kemanusiaan dari pada uu pilpres, uu pilkada dan putusan MK"
467,"Selain itu, partai juga kena hantam dari banyak “raja kecil” di dati II (kota/kab) yang sebenernya dapet banyak benefit dari putusan MK, nyali fraksi di pusat akan makin ciut karena “raja kecil” ini selain sumber pundi pundi, tapi juga sebagai kantong suara besar di daerah"
468,"Kamis, 22 Agustus 2024, seluruh lapisan masyarakat turun ke jalan untuk menentang keputusan RUU Pilkada oleh DPR dan mengawal putusan MK untuk dilaksanakan. Ero juga datang saat demo untuk mengawal putusan MK loh. Yuk, simak beritanya.

#PeringatanDarurat #KawalPutusanMK"
469,"OK, seperti kasus Vina, kasus DPR melawan putusan MK, bersyukur selalu ada jalan untuk membuka kejahatan.
Tidak ada kejahatan yang sempurna, kecuali ada Allah diatas segala cara untuk menentukan hukumannya."
470,"Kata2nya ini udh kyk org hopeless..

Coba dibalik kata2nya, kl aja pks mau bersabar istiqomah bersama masyarakat dukung pak Anies smpe tgl dibacakannya putusan MK, mereka bkn cm ga akan tersandera tp insyaAllah dpt buah manisnya yakni bertambah masyarakat yg mencintai pks."
471,"PDIP kok bisa sabar, hingga putusan MK"
472,"jgn munafik pak 
@hnurwahid
 kan msh ada wkt setelah putusan MK..emg 
@PKSejahtera
 nya aja yg gatel n ganjen mau msk kimplus"
473,"Putusan MK itu malah lebih parah dripada DPR yg ikut elitnya, putusan MK itu jadinya hanya diusulkan penggugat, disetujui atau enggak sama hakim2 MK, hasilnya harus dipatuhi, sebaik2nya putusan tsb, ttp saja itu proses legislasi yg buruk karena gak ada unsur perwakilan rakyatnya"
474,"Selanjutnya, Putusan MK dapat menyatakan suatu undang-undang “dicabut” atau “dibatalkan” Namun pencabutan ini berbeda dengan kewenangan 
#KumhamKalsel
#Jumadi
Kanwil Kemenkumham Kalsel
Jumadi"
475,"""Tanggal 22 itu teman2 HMI sempat demo di sini, saya terima kan El. Saya sudah tanda tangan surat mundur, kalau putusan MK tidak masuk dalam PKPU. Seandainya benar2 gak masuk, mungkin saya gak berdiri di sini..."" ucap Ketua KPU Mochammad Afifuddin dalam sambutannya."
476,"Gibran anaknya 
@jokowi
 dalam putusan MK 90 tidak eksekutabel lho"
477,"Ternyata  putusan MK ini NON EKSEKUTABEL
 
@ReflyHZ
@msaid_didu
@_Palestine5
@abu_waras
@SBYudhoyono
@prabowo
@puanmaharani_ri
@aniesbaswedan"
478,"Waktu putusan MK 90 kemana saja ?
Mengapa kok malah mendukung Prabowo Gibran ?
Waktu Jokowi cawe2 tidak netral dlm pemilu yg diduga melanggar Undang2 kok diam saja ?

Itu bukan tindakan menjaga Marwah Demokrasi,tapi malah melakukan pembiaran trhdp perusakan tatanan Demokrasi."
479,"anjer bilang makasih malam dicap dua sisi, lucu juga "
480,"Putusan yg ngga adil masak iyaa harus patuh..
Kaya Jkw aja, ktnya putusan MK final dan mengikat, tpi klo rugiin anaknya ngga mau bilang final dan mengikat."
481,"Contoh kasus tahapan pendaftaran di tapanuli tengah, yg awal nya PDI-P memberikan rekom tgl 22 Agustus kepada pasangan ""kedan"" krn diawal sebelum tgl 21 putusan mk pdip yg hanya memiliki 4 kursi dari 35 kursi dprd tapanuli tengah tdk ada peluang dan mungkin tdk ada teman koalisi"
482,"vote buat putusan mk kmrn, kan di anulir dpr, yg setuju cm pdip akhirnya besoknya sidang lagi trs gerindra ngusulin setuju sm pdip, komandonya berubah arah dari prabowo, yg lain kan kim plus dibawah komando mulyono semua itu gasetuju sm putusan mk"
483,"Dulu sebelum ada Putusan MK No.60, misalkan di Jatim sana cuma ada calon tunggal.

Saya dkk....sudah ada niat buat pilih KK. Biar warning buat calon tunggal saja.

Kalau sekarang?. Ada 3 srikandi hebat. Wanita2 luar biasa.

Insya Allah....bakal coblos salah 1 nanti 27 November."
